Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
ATM,ATM Serine/Threonine Kinase,Protein Coding,Q13315,66,GC11P108222,314.5493469,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM
BRIP1,BRCA1 Interacting DNA Helicase 1,Protein Coding,Q9BX63,61,GC17M061679,272.8379211,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1
BRCA2,BRCA2 DNA Repair Associated,Protein Coding,P51587,60,GC13P032315,267.6502991,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2
CHEK2,Checkpoint Kinase 2,Protein Coding,O96017,67,GC22M028687,259.8551636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2
BARD1,BRCA1 Associated RING Domain 1,Protein Coding,Q99728,60,GC02M214725,240.5419464,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1
CDH1,Cadherin 1,Protein Coding,P12830,61,GC16P068737,223.647171,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1
BRCA1,BRCA1 DNA Repair Associated,Protein Coding,P38398,63,GC17M043044,215.0495758,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1
TP53,Tumor Protein P53,Protein Coding,P04637,66,GC17M007661,118.9788895,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
ESR1,Estrogen Receptor 1,Protein Coding,P03372,68,GC06P151656,96.78516388,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,P04626,68,GC17P039687,91.22184753,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
CTNNA1,Catenin Alpha 1,Protein Coding,P35221,60,GC05P138834,82.26300812,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1
MSH6,MutS Homolog 6,Protein Coding,P52701,61,GC02P047695,71.68507385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6
MSH2,MutS Homolog 2,Protein Coding,P43246,61,GC02P047403,71.12486267,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,P42336,65,GC03P179148,70.38579559,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA
RAD50,RAD50 Double Strand Break Repair Protein,Protein Coding,Q92878,62,GC05P132556,70.22901154,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,65,GC10P128607,69.04969788,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
NBN,Nibrin,Protein Coding,O60934,61,GC08M089933,67.85087585,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN
MLH1,MutL Homolog 1,Protein Coding,P40692,62,GC03P036993,65.84195709,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,66,GC14M104769,64.63873291,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
