#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA1	APOE	9606.ENSP00000363868	9606.ENSP00000252486	0	0	0	0	0.084	0	0	0.979	0.980
ABCA1	RXRA	9606.ENSP00000363868	9606.ENSP00000419692	0	0	0	0	0.056	0.049	0.800	0.588	0.916
ABCC1	ABCG2	9606.ENSP00000382342	9606.ENSP00000498246	0	0	0	0	0.057	0.100	0	0.968	0.971
ABCC2	ABCG2	9606.ENSP00000497274	9606.ENSP00000498246	0	0	0	0	0.087	0.100	0.800	0.889	0.979
ABL1	CBL	9606.ENSP00000361423	9606.ENSP00000264033	0	0	0	0	0.063	0.896	0.900	0.685	0.996
ABL1	RB1	9606.ENSP00000361423	9606.ENSP00000267163	0	0	0	0	0.049	0.736	0.900	0.312	0.980
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0.145	0.910
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0.774	0.988
ABL1	STAT5B	9606.ENSP00000361423	9606.ENSP00000293328	0	0	0	0	0.065	0.439	0.900	0.727	0.983
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0.080	0.788	0	0.922	0.983
ABL1	EPHA3	9606.ENSP00000361423	9606.ENSP00000337451	0	0	0	0.616	0.074	0.292	0.900	0.441	0.958
ABL1	STAT5A	9606.ENSP00000361423	9606.ENSP00000341208	0	0	0	0	0.088	0.332	0.900	0.724	0.980
ABL1	FN1	9606.ENSP00000361423	9606.ENSP00000346839	0	0	0	0	0.078	0.900	0	0.634	0.963
ABL1	EPHB4	9606.ENSP00000361423	9606.ENSP00000350896	0	0	0	0.618	0.099	0.043	0.900	0.457	0.947
ABL1	EPHA2	9606.ENSP00000361423	9606.ENSP00000351209	0	0	0	0.619	0.125	0	0.900	0.487	0.951
ABL1	NTRK3	9606.ENSP00000361423	9606.ENSP00000354207	0	0	0	0.629	0	0	0.900	0.192	0.915
ABL1	RAD51	9606.ENSP00000361423	9606.ENSP00000493712	0	0	0	0	0	0.642	0	0.772	0.915
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000495360	0	0	0	0	0.095	0.539	0.500	0.785	0.949
ABL1	BRCA1	9606.ENSP00000361423	9606.ENSP00000418960	0	0	0	0	0	0.483	0.500	0.847	0.956
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.642	0	0.510	0.900	0.212	0.958
ABL1	GRB2	9606.ENSP00000361423	9606.ENSP00000376345	0	0	0	0.748	0.083	0.846	0.900	0.973	0.999
ACACA	FASN	9606.ENSP00000483300	9606.ENSP00000304592	0.055	0	0	0	0.572	0.073	0.900	0.964	0.998
ACACA	BRCA1	9606.ENSP00000483300	9606.ENSP00000418960	0	0	0	0	0.056	0.986	0	0.666	0.995
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0	0	0.042	0.070	0.900	0.376	0.936
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0	0	0	0.420	0.680	0.900	0.602	0.991
ACTB	YY1	9606.ENSP00000494750	9606.ENSP00000262238	0	0	0	0	0.056	0.315	0.800	0.432	0.916
ACTB	ERBB2	9606.ENSP00000494750	9606.ENSP00000269571	0	0	0	0	0	0.292	0	0.908	0.932
ACTB	PPARG	9606.ENSP00000494750	9606.ENSP00000287820	0	0	0	0	0	0.047	0.900	0.722	0.971
ACTB	CTNNA1	9606.ENSP00000494750	9606.ENSP00000304669	0	0	0	0	0.072	0.108	0.900	0.550	0.957
ACTB	CASP3	9606.ENSP00000494750	9606.ENSP00000311032	0	0	0	0	0.042	0.095	0.900	0.893	0.989
ACTB	HSP90AA1	9606.ENSP00000494750	9606.ENSP00000335153	0	0	0	0	0.142	0.270	0	0.952	0.967
ACTB	SMARCA4	9606.ENSP00000494750	9606.ENSP00000343896	0	0	0	0	0.062	0.982	0.650	0.876	0.999
ACTB	CASP7	9606.ENSP00000494750	9606.ENSP00000358327	0	0	0	0	0.042	0.095	0.900	0.665	0.967
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0	0	0.084	0.077	0.900	0.835	0.984
ACTB	GAPDH	9606.ENSP00000494750	9606.ENSP00000380070	0	0	0	0	0.605	0.230	0	0.925	0.975
ACTB	RHOA	9606.ENSP00000494750	9606.ENSP00000400175	0	0	0	0	0.426	0.070	0.900	0.646	0.978
ACTB	ESR1	9606.ENSP00000494750	9606.ENSP00000405330	0	0	0	0	0	0.571	0	0.882	0.947
ACTB	PRKCA	9606.ENSP00000494750	9606.ENSP00000408695	0	0	0	0	0.047	0.162	0.900	0.507	0.955
ACTB	HSPA8	9606.ENSP00000494750	9606.ENSP00000437125	0	0	0	0	0.333	0.459	0	0.886	0.955
ACTB	AKT1	9606.ENSP00000494750	9606.ENSP00000451828	0	0	0	0	0.105	0.313	0	0.885	0.923
ACTB	ITGB3	9606.ENSP00000494750	9606.ENSP00000452786	0	0	0	0	0.044	0.070	0.900	0.500	0.949
ACTB	CDC42	9606.ENSP00000494750	9606.ENSP00000497733	0	0	0	0	0.415	0.070	0.900	0.596	0.975
ACVR1B	SMAD2	9606.ENSP00000442656	9606.ENSP00000262160	0	0	0	0	0.067	0.354	0.500	0.920	0.972
ACVR1B	SMAD3	9606.ENSP00000442656	9606.ENSP00000332973	0	0	0	0	0.067	0.354	0.500	0.813	0.936
ACVR1B	SMAD4	9606.ENSP00000442656	9606.ENSP00000341551	0	0	0	0	0.062	0.091	0.500	0.911	0.957
ACVR1B	ALK	9606.ENSP00000442656	9606.ENSP00000373700	0	0	0	0	0.043	0.092	0	0.929	0.932
ACVR1B	TGFBR1	9606.ENSP00000442656	9606.ENSP00000447297	0	0	0.055	0.968	0.049	0	0.540	0.975	0.988
ADAM17	NOTCH2	9606.ENSP00000309968	9606.ENSP00000256646	0	0	0	0	0.055	0.078	0.900	0.415	0.942
ADAM17	NOTCH3	9606.ENSP00000309968	9606.ENSP00000263388	0	0	0	0	0	0.078	0.900	0.407	0.940
ADAM17	NOTCH4	9606.ENSP00000309968	9606.ENSP00000364163	0	0	0	0	0	0.078	0.900	0.386	0.938
ADAM17	TNF	9606.ENSP00000309968	9606.ENSP00000398698	0	0	0	0	0.044	0	0.750	0.811	0.950
ADAM17	NOTCH1	9606.ENSP00000309968	9606.ENSP00000498587	0	0	0	0	0	0.078	0.900	0.537	0.953
ADRB2	SRC	9606.ENSP00000305372	9606.ENSP00000362680	0	0	0	0	0.047	0.510	0.500	0.831	0.955
AGTR1	SERPINE1	9606.ENSP00000398832	9606.ENSP00000223095	0	0	0	0	0.061	0	0.900	0.544	0.953
AHR	ESR1	9606.ENSP00000242057	9606.ENSP00000405330	0	0	0	0	0.059	0.833	0	0.450	0.906
AHR	CYP1A1	9606.ENSP00000242057	9606.ENSP00000378488	0	0	0	0	0.055	0	0.400	0.957	0.973
AHR	HSP90AA1	9606.ENSP00000242057	9606.ENSP00000335153	0	0	0	0	0	0.869	0.800	0.717	0.992
AKT1	MAPK12	9606.ENSP00000451828	9606.ENSP00000215659	0	0	0.118	0.615	0.066	0.110	0.900	0.274	0.937
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0.125	0.314	0.900	0.856	0.990
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.128	0.093	0.900	0.677	0.971
AKT1	RPS6KB1	9606.ENSP00000451828	9606.ENSP00000225577	0	0	0.068	0.850	0.090	0.772	0.900	0.211	0.982
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.088	0	0	0.919	0.923
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0	0	0	0.121	0.797	0.900	0.842	0.996
